,scores0,scores1
847,23.288,24.026
848,23.283,23.862
849,23.178,23.693
850,23.279,23.479
851,23.347,23.39
852,23.541,23.415
853,23.22,23.679
854,23.175,23.634
855,23.313,23.809
856,23.303,23.794
857,22.65,23.866
858,22.81,23.891
859,23.022,24.041
860,23.126,23.745
861,23.078,23.62
862,22.855,23.946
863,23.037,23.954
864,23.144,23.885
865,23.407,23.618
866,23.37,23.582
867,23.574,23.607
868,23.495,23.178
869,23.47,23.117
870,23.642,22.958
871,23.949,23.316
872,23.689,23.693
873,23.599,23.505
874,23.748,23.345
875,23.882,23.454
876,23.762,23.562
877,23.776,23.255
878,23.819,23.493
879,23.993,23.834
880,24.179,23.534
881,24.459,23.34
882,24.355,23.445
883,24.288,23.266
884,24.434,23.163
885,24.719,23.246
886,24.534,23.282
887,24.297,23.625
888,24.118,23.375
889,24.247,23.483
890,24.083,23.436
891,24.347,23.501
892,24.385,23.825
893,24.371,23.873
894,24.281,23.668
895,24.301,23.818
896,24.292,23.767
897,23.938,23.896
898,23.783,24.075
899,23.927,24.14
900,23.76,24.318
901,23.499,24.398
902,23.495,24.325
903,23.586,23.964
904,23.758,24.049
905,23.577,24.32
906,23.163,24.525
907,23.565,24.851
908,23.254,24.964
909,23.484,24.796
910,23.472,24.706
911,23.528,24.951
912,23.38,24.844
913,23.513,24.925
914,23.589,24.57
915,23.939,24.143
916,24.086,23.851
917,23.924,23.874
918,23.93,24.349
919,24.064,24.413
920,24.4,24.731
921,24.236,24.45
922,24.209,24.299
923,23.919,24.384
924,23.883,24.573
925,24.192,24.405
926,24.551,24.664
927,24.85,24.557
928,25.188,24.479
929,25.381,24.311
930,25.443,24.349
931,25.629,24.676
932,25.627,24.948
933,25.48,25.074
934,24.934,25.308
935,24.936,25.546
936,25.312,25.906
937,25.186,25.545
938,24.771,25.612
939,24.705,25.78
940,24.629,25.93
941,24.496,26.1
942,24.14,26.264
943,24.585,26.237
944,24.63,26.027
945,25.046,26.178
946,24.869,26.489
947,24.978,26.22
948,25.274,26.256
949,25.443,26.332
950,25.189,26.473
951,25.188,26.448
952,24.841,26.213
953,25.104,26.302
954,25.178,26.276
955,25.333,26.307
956,25.028,26.383
957,25.209,26.334
958,25.586,26.206
959,25.976,26.198
960,26.155,26.377
961,26.313,26.003
962,26.473,25.895
963,26.611,25.902
964,26.507,26.04
965,25.91,26.552
966,26.201,26.804
967,26.5,26.795
968,26.28,26.672
969,26.18,26.488
970,26.448,26.875
971,26.33,26.572
972,26.207,26.635
973,26.298,26.734
974,26.536,26.5
975,26.566,26.746
976,26.711,26.574
977,26.712,26.489
978,26.73,26.756
979,26.658,26.901
980,26.461,27.154
981,26.904,27.034
982,27.326,27.153
983,27.962,27.081
984,28.134,27.394
985,28.196,27.299
986,28.491,27.53
987,28.184,27.937
988,28.142,28.478
989,27.87,28.571
990,27.619,28.637
991,27.865,28.43
992,27.119,28.481
993,27.389,28.06
994,27.59,28.48
995,27.589,28.411
996,27.748,28.254
997,27.387,27.866
998,27.641,27.974
999,27.704,28.058
1000,27.476,28.038
1001,27.8,28.216
1002,27.827,28.117
1003,27.904,27.644
1004,28.028,27.835
1005,28.269,27.611
1006,28.074,27.231
1007,28.029,27.541
1008,28.144,27.349
1009,28.543,27.602
1010,28.494,27.446
1011,28.761,27.857
1012,28.928,28.169
1013,29.084,27.955
1014,29.069,28.147
1015,29.345,28.039
1016,28.949,27.801
1017,28.889,27.844
1018,28.919,28.214
1019,28.81,28.007
1020,28.643,27.702
1021,28.979,27.643
1022,28.093,27.725
1023,27.811,27.772
1024,27.606,27.477
1025,27.573,27.752
1026,27.535,27.81
1027,27.52,27.893
1028,27.407,28.033
1029,27.591,28.065
1030,28.041,27.826
1031,27.595,27.73
1032,27.659,27.678
1033,27.689,28.095
1034,27.855,28.175
1035,27.432,28.368
1036,27.64,28.942
1037,27.188,28.717
1038,27.175,28.462
1039,27.422,28.163
1040,27.831,27.692
1041,27.99,27.491
1042,27.965,28.006
1043,27.813,28.427
1044,28.298,28.238
1045,28.205,28.515
1046,28.491,28.678
1047,28.126,29.005
1048,28.163,29.124
1049,28.314,29.329
1050,28.203,29.106
1051,27.98,28.732
1052,28.309,28.931
1053,28.328,29.027
1054,28.005,28.717
1055,27.862,28.542
1056,28.204,28.502
1057,27.943,28.549
1058,28.278,28.854
1059,28.187,28.909
1060,27.821,29.081
1061,28.075,29.202
1062,27.979,29.051
1063,27.97,28.972
1064,28.216,28.843
1065,28.063,28.907
1066,28.125,28.949
1067,28.237,28.758
1068,28.387,28.848
1069,28.2,29.447
1070,28.269,29.385
1071,28.541,29.403
1072,28.357,29.528
1073,28.773,29.282
1074,28.782,29.528
1075,28.555,29.896
1076,28.617,29.814
1077,28.888,29.952
1078,29.017,30.076
1079,29.372,29.919
1080,29.614,29.574
1081,29.68,29.492
1082,29.746,29.465
1083,29.901,29.706
1084,30.272,29.738
1085,30.379,29.7
1086,30.688,29.095
1087,30.909,28.48
1088,31.199,28.386
1089,31.306,28.487
1090,31.472,28.427
1091,31.732,28.725
1092,31.626,28.631
1093,31.657,28.841
1094,31.457,28.772
1095,31.233,28.707
1096,31.48,28.695
1097,31.343,28.813
1098,31.544,29.234
1099,31.225,28.978
1100,31.099,28.704
1101,31.345,28.948
1102,31.009,28.912
1103,31.103,28.763
1104,31.263,29.021
1105,31.209,28.946
1106,31.166,28.977
1107,31.424,29.179
1108,30.986,29.168
1109,30.562,29.041
1110,30.714,28.7
1111,31.019,29.022
1112,31.125,29.011
1113,30.979,28.938
1114,30.997,28.872
1115,30.968,29.113
1116,30.642,29.365
1117,30.665,29.479
1118,30.386,29.471
1119,30.27,29.734
1120,30.317,29.878
1121,30.388,29.789
1122,30.635,29.749
1123,30.457,29.623
1124,30.714,29.608
1125,30.528,29.921
1126,31.067,29.677
1127,31.083,29.564
1128,31.019,29.549
1129,30.963,29.852
1130,30.744,29.963
1131,30.856,29.534
1132,31.213,29.555
1133,31.132,29.578
1134,31.259,30.007
1135,31.254,30.113
1136,31.567,30.124
1137,31.855,30.385
1138,31.905,30.189
1139,31.836,30.35
1140,32.047,30.326
1141,31.879,30.633
1142,31.875,30.829
1143,32.447,31.032
1144,32.274,31.116
1145,32.082,31.221
1146,32.127,30.78
1147,31.999,31.132
1148,32.315,31.228
1149,32.47,31.187
1150,32.122,31.075
1151,32.047,30.836
1152,32.214,30.974
1153,32.281,30.96
1154,32.359,31.167
1155,32.679,30.872
1156,32.544,31.271
1157,32.426,31.501
1158,31.996,31.815
1159,32.081,32.019
1160,32.245,32.48
1161,32.483,32.563
1162,32.254,32.368
1163,32.351,32.773
1164,32.756,32.454
1165,32.982,32.582
1166,32.987,32.643
1167,32.796,32.667
1168,32.382,32.902
